,Accuracy,AUC Score,Precision,Recall,F1 Score,MCC Score
Logistic Regression,0.8594748048261178,0.9321361288519466,0.7358490566037735,0.7319034852546917,0.7338709677419355,0.6384084682166692
Decision Tree,0.8147622427253371,0.7650674899334416,0.6481481481481481,0.6568364611260054,0.6524633821571239,0.5262227330382598
KNN,0.815471965933286,0.8587058908774726,0.6676557863501483,0.6032171581769437,0.6338028169014085,0.5120623150496688
Naive Bayes,0.6969481902058198,0.8796813377912573,0.4640957446808511,0.935656836461126,0.6204444444444445,0.4834599910345223
Random Forest,0.8545067423704755,0.9180675313383088,0.7514970059880239,0.6729222520107239,0.71004243281471,0.6149923701944151
XGBoost,0.8623136976579134,0.9299067355367623,0.752112676056338,0.7158176943699732,0.7335164835164835,0.641126235383651
